transaction_id,date,account_id,amount,type,merchant,description
TXN-000001,2025-01-01 04:00:00,ACC-0006,19.54,purchase,Shell Gas,Wire transfer
TXN-000002,2025-01-03 16:00:00,ACC-0020,20.12,withdrawal,Whole Foods,Peer transfer
TXN-000003,2025-01-05 02:00:00,ACC-0013,54.05,deposit,Costco,Refund processed
TXN-000004,2025-01-07 10:00:00,ACC-0020,43.33,withdrawal,Whole Foods,Wire transfer
TXN-000005,2025-01-07 17:00:00,ACC-0016,46.34,transfer,Amazon,Wire transfer
TXN-000006,2025-01-08 21:00:00,ACC-0018,22.84,purchase,Whole Foods,In-store purchase
TXN-000007,2025-01-08 22:00:00,ACC-0010,46.89,payment,Best Buy,In-store purchase
TXN-000008,2025-01-09 05:00:00,ACC-0008,11.78,deposit,Uber,Wire transfer
TXN-000009,2025-01-09 10:00:00,ACC-0018,195.57,purchase,Costco,Subscription
TXN-000010,2025-01-09 14:00:00,ACC-0001,271.99,payment,Best Buy,Peer transfer
TXN-000011,2025-01-10 09:00:00,ACC-0008,9519.99,withdrawal,Shell Gas,Refund processed
TXN-000012,2025-01-11 22:00:00,ACC-0006,18.86,withdrawal,DoorDash,Wire transfer
TXN-000013,2025-01-13 13:00:00,ACC-0005,10.23,deposit,Apple Store,Bill payment
TXN-000014,2025-01-17 07:00:00,ACC-0015,24.86,refund,Home Depot,Peer transfer
TXN-000015,2025-01-17 11:00:00,ACC-0015,6.54,withdrawal,CVS Pharmacy,In-store purchase
TXN-000016,2025-01-18 04:00:00,ACC-0002,9.54,purchase,Uber,Bill payment
TXN-000017,2025-01-18 09:00:00,ACC-0001,19.84,purchase,CVS Pharmacy,In-store purchase
TXN-000018,2025-01-20 10:00:00,ACC-0011,41.89,payment,Whole Foods,In-store purchase
TXN-000019,2025-01-21 22:00:00,ACC-0010,4.82,purchase,Unknown Vendor,Peer transfer
TXN-000020,2025-01-22 08:00:00,ACC-0018,12.83,purchase,Uber,In-store purchase
TXN-000021,2025-01-23 09:00:00,ACC-0018,8.01,transfer,Amazon,Cash deposit
TXN-000022,2025-01-24 07:00:00,ACC-0017,45.63,transfer,Unknown Vendor,Online purchase
TXN-000023,2025-01-24 17:00:00,ACC-0008,13.18,withdrawal,Starbucks,Cash deposit
TXN-000024,2025-01-24 22:00:00,ACC-0015,34.32,payment,Walmart,Online purchase
TXN-000025,2025-01-25 04:00:00,ACC-0008,5.38,purchase,Walmart,In-store purchase
TXN-000026,2025-01-26 06:00:00,ACC-0017,76.74,purchase,Walmart,Refund processed
TXN-000027,2025-01-27 11:00:00,ACC-0012,49.34,purchase,Starbucks,Refund processed
TXN-000028,2025-01-28 11:00:00,ACC-0008,114.23,refund,CVS Pharmacy,Online purchase
TXN-000029,2025-01-28 15:00:00,ACC-0014,71.26,withdrawal,Amazon,Bill payment
TXN-000030,2025-01-30 02:00:00,ACC-0004,11.82,purchase,Unknown Vendor,Peer transfer
TXN-000031,2025-01-30 02:00:00,ACC-0001,58.84,refund,Starbucks,In-store purchase
TXN-000032,2025-01-30 03:00:00,ACC-0001,30.59,refund,Walmart,Peer transfer
TXN-000033,2025-01-30 21:00:00,ACC-0019,4.29,refund,Shell Gas,Cash deposit
TXN-000034,2025-01-31 08:00:00,ACC-0016,83.52,payment,Target,Refund processed
TXN-000035,2025-01-31 08:00:00,ACC-0014,17.83,purchase,Unknown Vendor,Subscription
TXN-000036,2025-02-02 01:00:00,ACC-0016,11.19,deposit,Costco,Cash deposit
